Nb Loops;If Clean;If FP Vect;If Fully Vect;
1;1.0028;1.0018;1.0032;
2;1.0031;1.0021;1.0048;
3;1.0032;1.0022;1.0057;
4;1.0033;1.0024;1.0064;
5;1.0033;1.0024;1.0071;
6;1.0033;1.0025;1.0075;
7;1.0033;1.0025;1.0079;
8;1.0033;1.0026;1.0081;
9;1.0033;1.0026;1.0082;
10;1.0033;1.0026;1.0084;
11;1.0033;1.0026;1.0084;
12;1.0033;1.0026;1.0085;
13;1.0033;1.0026;1.0086;
14;1.0033;1.0026;1.0086;
