Category;> 8%;4% to 8%;2% to 4%;1% to 2%;0.5% to 1%;0.25% to 0.5%;0.125% to 0.25%;< 0.125%;
inner_simple;0;0;0;6.62;0.76;0.98;0.17;0.41;
inbetween;0;0;3.95;0;0;0;0;0.2;
outer;0;0;0;0;0;0.48;0;0.03;
count_inner;0;0;0;4;1;3;1;9;
count_inbetween;0;0;1;0;0;0;0;3;
count_outer;0;0;0;0;0;1;0;1;
