Nb Loops;If Clean;If FP Vect;If Fully Vect;
1;1.1443;1.0866;1.1662;
2;1.1862;1.1338;1.3096;
3;1.2185;1.1722;1.49;
4;1.225;1.2048;1.557;
5;1.2269;1.2163;1.6183;
6;1.2269;1.2206;1.6706;
7;1.2269;1.2246;1.7119;
8;1.2269;1.2268;1.726;
9;1.2269;1.2268;1.7347;
10;1.2269;1.2268;1.7422;
11;1.2269;1.2268;1.7471;
12;1.2269;1.2268;1.75;
