#	Mesure	Temps_moyen	Ecart_type
Parameter parsing	0.000442683	0.00503876	3.34007%
Netlist parsing	3.75472e-05	8.15409e-06	0.283295%
DCOP calc	7.19893e-05	1.64174e-05	0.543163%
Matrix setup	2.08667e-07	1.26957e-07	0.00157441%
Transient calc	0.0122263	0.00471998	92.2483%
I/O File	0.0103477	0.00608668	78.0737%
Total Simulation	0.0132537	0.00812772	100%
