Nb Loops;If Clean;If FP Vect;If Fully Vect;
1;1.0151;1.0256;1.0649;
2;1.0227;1.0526;1.1092;
3;1.0227;1.0596;1.1408;
4;1.0227;1.0596;1.1743;
5;1.0227;1.0596;1.2042;
6;1.0227;1.0596;1.2344;
7;1.0227;1.0596;1.2637;
8;1.0227;1.0596;1.2943;
