block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
3139;miniXyce.x;;0.16;0.22;;;;;;
3381;miniXyce.x;;0.11;0.14;;;;;;
3363;miniXyce.x;;0.08;0.1;;;;;;
3133;miniXyce.x;;0.07;0.09;;;;;;
3132;miniXyce.x;;0.04;0.05;;;;;;
3157;miniXyce.x;;0.04;0.05;;;;;;
3367;miniXyce.x;;0.03;0.05;;;;;;
3349;miniXyce.x;;0.03;0.04;;;;;;
3666;miniXyce.x;;0.02;0.03;;;;;;
3411;miniXyce.x;;0.02;0.03;;;;;;
3160;miniXyce.x;;0.02;0.03;;;;;;
3117;miniXyce.x;;0.02;0.03;;;;;;
3143;miniXyce.x;;0.02;0.03;;;;;;
3149;miniXyce.x;;0.02;0.03;;;;;;
3147;miniXyce.x;;0.02;0.03;;;;;;
3154;miniXyce.x;;0.02;0.02;;;;;;
3135;miniXyce.x;;0.02;0.02;;;;;;
3145;miniXyce.x;;0.02;0.02;;;;;;
3387;miniXyce.x;;0.02;0.02;;;;;;
1618;miniXyce.x;;0.01;0.02;;;;;;
1611;miniXyce.x;;0.01;0.02;;;;;;
3638;miniXyce.x;;0.01;0.02;;;;;;
3295;miniXyce.x;;0.01;0.02;;;;;;
872;miniXyce.x;;0.01;0.01;;;;;;
3814;miniXyce.x;;0.01;0.01;;;;;;
3201;miniXyce.x;;0.01;0.01;;;;;;
3141;miniXyce.x;;0.01;0.01;;;;;;
3435;miniXyce.x;;0.01;0.01;;;;;;
3119;miniXyce.x;;0.01;0.01;;;;;;
3130;miniXyce.x;;0.01;0.01;;;;;;
3142;miniXyce.x;;0.01;0.01;;;;;;
3202;miniXyce.x;;0.01;0.01;;;;;;
3339;miniXyce.x;;0.01;0.01;;;;;;
3146;miniXyce.x;;0.01;0.01;;;;;;
3336;miniXyce.x;;0.01;0.01;;;;;;
3124;miniXyce.x;;0.01;0.01;;;;;;
3118;miniXyce.x;;0;0.01;;;;;;
3150;miniXyce.x;;0;0.01;;;;;;
3162;miniXyce.x;;0;0.01;;;;;;
3802;miniXyce.x;;0;0.01;;;;;;
296;miniXyce.x;;0;0.01;;;;;;
951;miniXyce.x;;0;0.01;;;;;;
1612;miniXyce.x;;0;0.01;;;;;;
1613;miniXyce.x;;0;0.01;;;;;;
1623;miniXyce.x;;0;0.01;;;;;;
1544;miniXyce.x;;0;0.01;;;;;;
1606;miniXyce.x;;0;0.01;;;;;;
1608;miniXyce.x;;0;0.01;;;;;;
1610;miniXyce.x;;0;0.01;;;;;;
3314;miniXyce.x;;0;0.01;;;;;;
1128;miniXyce.x;;0;0.01;;;;;;
3382;miniXyce.x;;0;0.01;;;;;;
3137;miniXyce.x;;0;0.01;;;;;;
3158;miniXyce.x;;0;0.01;;;;;;
3255;miniXyce.x;;0;0.01;;;;;;
3330;miniXyce.x;;0;0.01;;;;;;
3429;miniXyce.x;;0;0.01;;;;;;
3268;miniXyce.x;;0;0.01;;;;;;
3334;miniXyce.x;;0;0.01;;;;;;
3170;miniXyce.x;;0;0.01;;;;;;
3168;miniXyce.x;;0;0.01;;;;;;
3120;miniXyce.x;;0;0.01;;;;;;
2895;miniXyce.x;;0;0.01;;;;;;
3122;miniXyce.x;;0;0.01;;;;;;
3125;miniXyce.x;;0;0.01;;;;;;
