block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
3139;miniXyce.x;;0.11;0.14;;;;;;
3133;miniXyce.x;;0.08;0.1;;;;;;
3381;miniXyce.x;;0.07;0.08;;;;;;
3363;miniXyce.x;;0.07;0.08;;;;;;
3157;miniXyce.x;;0.06;0.07;;;;;;
3143;miniXyce.x;;0.04;0.05;;;;;;
3160;miniXyce.x;;0.02;0.03;;;;;;
3146;miniXyce.x;;0.02;0.03;;;;;;
3666;miniXyce.x;;0.02;0.02;;;;;;
3201;miniXyce.x;;0.02;0.02;;;;;;
3637;miniXyce.x;;0.02;0.02;;;;;;
3145;miniXyce.x;;0.02;0.02;;;;;;
1618;miniXyce.x;;0.01;0.01;;;;;;
3429;miniXyce.x;;0.01;0.01;;;;;;
3156;miniXyce.x;;0.01;0.01;;;;;;
3132;miniXyce.x;;0.01;0.01;;;;;;
3367;miniXyce.x;;0.01;0.01;;;;;;
3147;miniXyce.x;;0.01;0.01;;;;;;
3162;miniXyce.x;;0.01;0.01;;;;;;
1623;miniXyce.x;;0.01;0.01;;;;;;
3137;miniXyce.x;;0.01;0.01;;;;;;
3138;miniXyce.x;;0.01;0.01;;;;;;
3638;miniXyce.x;;0.01;0.01;;;;;;
3161;miniXyce.x;;0.01;0.01;;;;;;
3163;miniXyce.x;;0.01;0.01;;;;;;
3411;miniXyce.x;;0.01;0.01;;;;;;
3119;miniXyce.x;;0.01;0.01;;;;;;
3130;miniXyce.x;;0.01;0.01;;;;;;
3149;miniXyce.x;;0.01;0.01;;;;;;
3135;miniXyce.x;;0.01;0.01;;;;;;
3140;miniXyce.x;;0.01;0.01;;;;;;
3124;miniXyce.x;;0.01;0.01;;;;;;
3295;miniXyce.x;;0.01;0.01;;;;;;
3150;miniXyce.x;;0;0;;;;;;
8;miniXyce.x;;0;0;;;;;;
3802;miniXyce.x;;0;0;;;;;;
3682;miniXyce.x;;0;0;;;;;;
3665;miniXyce.x;;0;0;;;;;;
1612;miniXyce.x;;0;0;;;;;;
1544;miniXyce.x;;0;0;;;;;;
1611;miniXyce.x;;0;0;;;;;;
1632;miniXyce.x;;0;0;;;;;;
3141;miniXyce.x;;0;0;;;;;;
3640;miniXyce.x;;0;0;;;;;;
1650;miniXyce.x;;0;0;;;;;;
3643;miniXyce.x;;0;0;;;;;;
3316;miniXyce.x;;0;0;;;;;;
3255;miniXyce.x;;0;0;;;;;;
3428;miniXyce.x;;0;0;;;;;;
3330;miniXyce.x;;0;0;;;;;;
3169;miniXyce.x;;0;0;;;;;;
3432;miniXyce.x;;0;0;;;;;;
3170;miniXyce.x;;0;0;;;;;;
3525;miniXyce.x;;0;0;;;;;;
3168;miniXyce.x;;0;0;;;;;;
3153;miniXyce.x;;0;0;;;;;;
3117;miniXyce.x;;0;0;;;;;;
3202;miniXyce.x;;0;0;;;;;;
3520;miniXyce.x;;0;0;;;;;;
3336;miniXyce.x;;0;0;;;;;;
3171;miniXyce.x;;0;0;;;;;;
3333;miniXyce.x;;0;0;;;;;;
3154;miniXyce.x;;0;0;;;;;;
3123;miniXyce.x;;0;0;;;;;;
3349;miniXyce.x;;0;0;;;;;;
3155;miniXyce.x;;0;0;;;;;;
3709;miniXyce.x;;0;0;;;;;;
3387;miniXyce.x;;0;0;;;;;;
