Node;Process;Thread;System (%);Binary (%);Time (s);Math (%);OMP (%);String (%);Others (%);IO (%);Memory (%);MPI (%);Pthread (%);
_ALL;_ALL;_ALL;1.4;1.2;136.24;0;0;0;0.31;0.01;0;97.09;0;
robin-SATELLITE-L70-A;_ALL;_ALL;1.4;1.2;136.24;0;0;0;0.31;0.01;0;97.09;0;
robin-SATELLITE-L70-A;6808;_ALL;0.91;0.84;130.27;0;0;0;0.17;0;0;98.07;0;
robin-SATELLITE-L70-A;6808;6808;0.91;0.84;130.27;0;0;0;0.17;0;0;98.07;0;
robin-SATELLITE-L70-A;6809;_ALL;1.89;1.71;136.24;0;0;0;0.52;0;0;95.88;0;
robin-SATELLITE-L70-A;6809;6809;1.89;1.71;136.24;0;0;0;0.52;0;0;95.88;0;
robin-SATELLITE-L70-A;6810;_ALL;1.37;1.02;130.37;0;0;0;0.23;0.02;0;97.36;0;
robin-SATELLITE-L70-A;6810;6810;1.37;1.02;130.37;0;0;0;0.23;0.02;0;97.36;0;
