block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
3157;miniXyce.x;;0.44;0.61;;;;;;
3133;miniXyce.x;;0.2;0.27;;;;;;
3160;miniXyce.x;;0.14;0.2;;;;;;
3147;miniXyce.x;;0.12;0.16;;;;;;
3143;miniXyce.x;;0.1;0.13;;;;;;
3363;miniXyce.x;;0.08;0.11;;;;;;
3139;miniXyce.x;;0.07;0.1;;;;;;
3381;miniXyce.x;;0.04;0.05;;;;;;
3154;miniXyce.x;;0.04;0.05;;;;;;
3638;miniXyce.x;;0.03;0.04;;;;;;
3141;miniXyce.x;;0.03;0.03;;;;;;
3137;miniXyce.x;;0.02;0.02;;;;;;
3435;miniXyce.x;;0.02;0.02;;;;;;
3814;miniXyce.x;;0.01;0.02;;;;;;
3162;miniXyce.x;;0.01;0.02;;;;;;
3802;miniXyce.x;;0.01;0.02;;;;;;
3156;miniXyce.x;;0.01;0.02;;;;;;
3130;miniXyce.x;;0.01;0.02;;;;;;
3122;miniXyce.x;;0.01;0.02;;;;;;
2732;miniXyce.x;;0.01;0.02;;;;;;
3201;miniXyce.x;;0.01;0.02;;;;;;
1606;miniXyce.x;;0.01;0.02;;;;;;
3169;miniXyce.x;;0.01;0.02;;;;;;
3146;miniXyce.x;;0.01;0.02;;;;;;
3132;miniXyce.x;;0.01;0.02;;;;;;
3135;miniXyce.x;;0.01;0.02;;;;;;
8;miniXyce.x;;0.01;0.01;;;;;;
3666;miniXyce.x;;0.01;0.01;;;;;;
3637;miniXyce.x;;0.01;0.01;;;;;;
1612;miniXyce.x;;0.01;0.01;;;;;;
3639;miniXyce.x;;0.01;0.01;;;;;;
3158;miniXyce.x;;0.01;0.01;;;;;;
3411;miniXyce.x;;0.01;0.01;;;;;;
3432;miniXyce.x;;0.01;0.01;;;;;;
3170;miniXyce.x;;0.01;0.01;;;;;;
3120;miniXyce.x;;0.01;0.01;;;;;;
3339;miniXyce.x;;0.01;0.01;;;;;;
3367;miniXyce.x;;0.01;0.01;;;;;;
3349;miniXyce.x;;0.01;0.01;;;;;;
3124;miniXyce.x;;0.01;0.01;;;;;;
3150;miniXyce.x;;0;0;;;;;;
872;miniXyce.x;;0;0;;;;;;
3673;miniXyce.x;;0;0;;;;;;
296;miniXyce.x;;0;0;;;;;;
951;miniXyce.x;;0;0;;;;;;
1618;miniXyce.x;;0;0;;;;;;
1623;miniXyce.x;;0;0;;;;;;
3405;miniXyce.x;;0;0;;;;;;
3346;miniXyce.x;;0;0;;;;;;
3151;miniXyce.x;;0;0;;;;;;
1650;miniXyce.x;;0;0;;;;;;
3642;miniXyce.x;;0;0;;;;;;
3161;miniXyce.x;;0;0;;;;;;
3163;miniXyce.x;;0;0;;;;;;
3646;miniXyce.x;;0;0;;;;;;
3255;miniXyce.x;;0;0;;;;;;
3428;miniXyce.x;;0;0;;;;;;
3330;miniXyce.x;;0;0;;;;;;
3429;miniXyce.x;;0;0;;;;;;
3525;miniXyce.x;;0;0;;;;;;
3515;miniXyce.x;;0;0;;;;;;
3168;miniXyce.x;;0;0;;;;;;
3258;miniXyce.x;;0;0;;;;;;
3153;miniXyce.x;;0;0;;;;;;
3129;miniXyce.x;;0;0;;;;;;
2892;miniXyce.x;;0;0;;;;;;
3119;miniXyce.x;;0;0;;;;;;
3142;miniXyce.x;;0;0;;;;;;
3202;miniXyce.x;;0;0;;;;;;
3437;miniXyce.x;;0;0;;;;;;
3121;miniXyce.x;;0;0;;;;;;
3333;miniXyce.x;;0;0;;;;;;
3518;miniXyce.x;;0;0;;;;;;
3295;miniXyce.x;;0;0;;;;;;
