function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
2303;libmpi.so.12.1.10;MPIDI_CH3U_Recvq_FDU_or_AEP;;30.42;41.45;0.16;40.23;120.38;50.941097259521;3;
2592;libmpi.so.12.1.10;MPIDI_CH3I_Progress;;25.53;34.79;2.79;33.78;52.62;20.814315795898;3;
2589;libmpi.so.12.1.10;MPIDI_CH3I_Shm_send_progress;;17.13;23.33;0.79;22.66;36.57;14.728014945984;3;
2712;libmpi.so.12.1.10;MPID_nem_tcp_connpoll;;10.96;14.94;0.27;14.51;21.7;9.4695434570313;3;
2196;libmpi.so.12.1.10;MPIR_Progress_hook_exec_all;;7.49;10.2;0.19;9.9;15.57;6.4919037818909;3;
2623;libmpi.so.12.1.10;MPID_nem_network_poll;;0.99;1.34;0.03;1.3;2.06;0.85575366020203;3;
584;libc-2.31.so;pthread_attr_setschedparam;;0.88;1.2;0.78;1.17;1.91;0.45310410857201;3;
67;miniXyce.x;mX_matrix_utils::sparse_matrix_vector_product(mX_matrix_utils::distributed_sparse_matrix*, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&);;0.79;1.07;0.65;1.04;1.79;0.45880454778671;3;
1819;libmpi.so.12.1.10;MPIR_Coll_safe_to_block;;0.76;1.04;0.02;1.01;1.62;0.66805911064148;3;
2315;libmpi.so.12.1.10;MPID_Request_free_hook;;0.68;0.92;0.58;0.9;1.41;0.31730929017067;3;
2582;libmpi.so.12.1.10;MPIDI_CH3_iStartMsg;;0.67;0.92;0.41;0.89;1.38;0.3455696105957;3;
1840;libmpi.so.12.1.10;MPII_Gentran_scheds_are_pending;;0.5;0.68;0.04;0.66;1.21;0.45265090465546;3;
2725;libmpi.so.12.1.10;MPIDU_Sched_are_pending;;0.46;0.62;0.16;0.61;1.16;0.39397382736206;3;
68;miniXyce.x;mX_matrix_utils::gmres(mX_matrix_utils::distributed_sparse_matrix*, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double&, double&, int, std::vector<double, std::allocator<double> >&, int&, int&);;0.26;0.35;0.28;0.34;0.45;0.078100360929966;3;
1482;libstdc++.so.6.0.28;std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&);;0.22;0.3;0.11;0.3;0.6;0.18930657207966;3;
2305;libmpi.so.12.1.10;MPIDI_CH3U_Recvq_FDP_or_AEU;;0.2;0.27;0.15;0.26;0.48;0.13185949623585;3;
2487;libmpi.so.12.1.10;MPID_Recv;;0.17;0.23;0.08;0.23;0.46;0.14745235443115;3;
585;libc-2.31.so;__libc_malloc;;0.15;0.21;0.08;0.2;0.42;0.13816253840923;3;
1303;libmpi.so.12.1.10;MPI_Send;;0.14;0.19;0.13;0.19;0.23;0.038143195211887;3;
2420;libmpi.so.12.1.10;MPIDI_CH3_PktHandler_EagerShortSend;;0.13;0.18;0.08;0.17;0.31;0.089924164116383;3;
1299;libmpi.so.12.1.10;MPI_Recv;;0.12;0.16;0.05;0.16;0.32;0.10071072727442;3;
2419;libmpi.so.12.1.10;MPIDI_CH3_EagerContigShortSend;;0.11;0.15;0.1;0.14;0.17;0.025350438430905;3;
586;libc-2.31.so;__libc_free;;0.09;0.12;0.07;0.12;0.14;0.028583735227585;3;
2591;libmpi.so.12.1.10;MPID_nem_handle_pkt;;0.08;0.11;0.04;0.11;0.24;0.083982743322849;3;
2226;libmpi.so.12.1.10;MPIDI_CH3I_Comm_find;;0.08;0.11;0.03;0.11;0.16;0.046718597412109;3;
305;libc-2.31.so;vprintf;;0.08;0.1;0.3;0.3;0.3;0;1;
2491;libmpi.so.12.1.10;MPID_Send;;0.07;0.09;0.07;0.09;0.11;0.016513289883733;3;
2317;libmpi.so.12.1.10;MPID_Request_complete;;0.06;0.08;0.05;0.08;0.12;0.028794785961509;3;
2310;libmpi.so.12.1.10;MPID_Request_create_hook;;0.06;0.08;0.07;0.08;0.09;0.0047274818643928;3;
1902;libc-2.31.so;__nss_database_lookup;;0.06;0.08;0.02;0.08;0.1;0.033548753708601;3;
2598;libmpi.so.12.1.10;MPIDI_CH3I_Posted_recv_enqueued;;0.05;0.07;0;0.1;0.2;0.10108724981546;2;
1060;libc-2.31.so;__poll;;0.05;0.06;0.07;0.09;0.11;0.019031142815948;2;
1343;libmpi.so.12.1.10;MPIR_Wait_impl;;0.05;0.06;0.01;0.06;0.13;0.045494683086872;3;
2599;libmpi.so.12.1.10;MPIDI_CH3I_Posted_recv_dequeued;;0.04;0.05;0;0.08;0.15;0.077731929719448;2;
48;miniXyce.x;void std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&);;0.04;0.05;0.04;0.05;0.06;0.01275478489697;3;
71;miniXyce.x;std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, double> >*);;0.03;0.05;0.02;0.04;0.07;0.020022347569466;3;
320;libmpi.so.12.1.10;.plt.sec@start;;0.03;0.04;0.03;0.04;0.05;0.0040555149316788;3;
72;miniXyce.x;void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&);;0.03;0.04;0.03;0.04;0.05;0.010135073214769;3;
