block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
3157;miniXyce.x;;0.18;0.25;0.05;0.24;0.61;0.22888915240765;3;
3133;miniXyce.x;;0.12;0.16;0.09;0.15;0.27;0.075774930417538;3;
3139;miniXyce.x;;0.11;0.15;0.1;0.15;0.22;0.047932490706444;3;
3363;miniXyce.x;;0.07;0.1;0.08;0.1;0.11;0.0067201876081526;3;
3381;miniXyce.x;;0.07;0.1;0.05;0.09;0.14;0.03759952634573;3;
3160;miniXyce.x;;0.06;0.09;0.03;0.08;0.2;0.070477046072483;3;
3143;miniXyce.x;;0.05;0.07;0.03;0.07;0.13;0.039101980626583;3;
3147;miniXyce.x;;0.05;0.07;0.01;0.07;0.16;0.059067282825708;3;
3132;miniXyce.x;;0.02;0.03;0.01;0.03;0.05;0.015642644837499;3;
3154;miniXyce.x;;0.02;0.03;0;0.03;0.05;0.016674995422363;3;
3367;miniXyce.x;;0.02;0.02;0.01;0.02;0.05;0.014635374769568;3;
3638;miniXyce.x;;0.02;0.02;0.01;0.02;0.04;0.011572662740946;3;
3666;miniXyce.x;;0.02;0.02;0.01;0.02;0.03;0.0081717064604163;3;
3146;miniXyce.x;;0.01;0.02;0.01;0.02;0.03;0.0080782249569893;3;
3349;miniXyce.x;;0.01;0.02;0;0.02;0.04;0.014592896215618;3;
3141;miniXyce.x;;0.01;0.02;0;0.02;0.04;0.011667936109006;3;
3201;miniXyce.x;;0.01;0.02;0.01;0.02;0.02;0.0038523031398654;3;
3135;miniXyce.x;;0.01;0.02;0.01;0.02;0.02;0.0038430336862803;3;
3411;miniXyce.x;;0.01;0.02;0.01;0.02;0.03;0.0067386836744845;3;
3137;miniXyce.x;;0.01;0.01;0.01;0.01;0.03;0.0075203804299235;3;
3130;miniXyce.x;;0.01;0.01;0.01;0.01;0.02;0.0040449933148921;3;
3145;miniXyce.x;;0.01;0.01;0.02;0.02;0.02;8.638787221571e-06;2;
3156;miniXyce.x;;0.01;0.01;0.01;0.02;0.02;0.0022378172725439;2;
3435;miniXyce.x;;0.01;0.01;0.01;0.02;0.03;0.0075512761250138;2;
3162;miniXyce.x;;0.01;0.01;0.01;0.01;0.02;0.0054985079914331;3;
1618;miniXyce.x;;0.01;0.01;0.01;0.01;0.02;0.0045266952365637;3;
3149;miniXyce.x;;0.01;0.01;0.01;0.02;0.03;0.0081315189599991;2;
3802;miniXyce.x;;0.01;0.01;0;0.01;0.02;0.0062601687386632;3;
3814;miniXyce.x;;0.01;0.01;0.01;0.02;0.02;0.0049562430940568;2;
3637;miniXyce.x;;0.01;0.01;0.01;0.02;0.02;0.0056663551367819;2;
3124;miniXyce.x;;0.01;0.01;0.01;0.01;0.01;0.00019270446500741;3;
3295;miniXyce.x;;0.01;0.01;0.01;0.01;0.02;0.0039182752370834;3;
3117;miniXyce.x;;0.01;0.01;0;0.02;0.03;0.01084562484175;2;
3122;miniXyce.x;;0.01;0.01;0.01;0.01;0.02;0.0076681892387569;2;
3429;miniXyce.x;;0.01;0.01;0.01;0.01;0.01;0.0044823717325926;3;
3119;miniXyce.x;;0.01;0.01;0.01;0.01;0.01;0.0023115184158087;3;
3387;miniXyce.x;;0.01;0.01;0;0.01;0.02;0.0081336786970496;2;
3169;miniXyce.x;;0.01;0.01;0;0.01;0.02;0.0050709960050881;2;
1606;miniXyce.x;;0.01;0.01;0.01;0.01;0.02;0.0050731557421386;2;
1612;miniXyce.x;;0.01;0.01;0;0.01;0.01;0.002022496657446;3;
3170;miniXyce.x;;0.01;0.01;0;0.01;0.01;0.002022496657446;3;
3339;miniXyce.x;;0.01;0.01;0.01;0.01;0.01;0.00023382445215248;2;
1623;miniXyce.x;;0.01;0.01;0.01;0.01;0.01;0.0022670584730804;3;
3202;miniXyce.x;;0.01;0.01;0;0.01;0.01;0.0022627091966569;3;
1611;miniXyce.x;;0.01;0.01;0;0.01;0.02;0.0054217320866883;2;
2732;miniXyce.x;;0;0.01;0.02;0.02;0.02;0;1;
8;miniXyce.x;;0;0.01;0;0.01;0.01;0.0024759618099779;2;
3432;miniXyce.x;;0;0.01;0;0.01;0.01;0.0024759618099779;2;
3158;miniXyce.x;;0;0.01;0.01;0.01;0.01;0.0024781215470284;2;
3120;miniXyce.x;;0;0.01;0.01;0.01;0.01;0.0024781215470284;2;
3161;miniXyce.x;;0;0.01;0.01;0.01;0.01;0.002833177568391;2;
3163;miniXyce.x;;0;0.01;0.01;0.01;0.01;0.002833177568391;2;
3150;miniXyce.x;;0;0.01;0;0.01;0.01;9.6352232503705e-05;3;
3255;miniXyce.x;;0;0.01;0;0.01;0.01;9.6352232503705e-05;3;
3330;miniXyce.x;;0;0.01;0;0.01;0.01;9.6352232503705e-05;3;
3168;miniXyce.x;;0;0.01;0;0.01;0.01;9.6352232503705e-05;3;
872;miniXyce.x;;0;0.01;0.01;0.01;0.01;0.0028288583271205;2;
3142;miniXyce.x;;0;0.01;0.01;0.01;0.01;0.0028288583271205;2;
3336;miniXyce.x;;0;0.01;0;0.01;0.01;0.0027097864076495;2;
3639;miniXyce.x;;0;0;0.01;0.01;0.01;0;1;
1650;miniXyce.x;;0;0;0;0;0.01;0.00011907192674698;2;
3428;miniXyce.x;;0;0;0;0;0.01;0.00011907192674698;2;
3525;miniXyce.x;;0;0;0;0;0.01;0.00011907192674698;2;
3153;miniXyce.x;;0;0;0;0;0.01;0.00011907192674698;2;
3333;miniXyce.x;;0;0;0;0;0.01;0.00011907192674698;2;
296;miniXyce.x;;0;0;0.01;0.01;0.01;0.00011691222607624;2;
951;miniXyce.x;;0;0;0.01;0.01;0.01;0.00011691222607624;2;
3138;miniXyce.x;;0;0;0.01;0.01;0.01;0;1;
3140;miniXyce.x;;0;0;0.01;0.01;0.01;0;1;
1544;miniXyce.x;;0;0;0;0;0.01;2.1596968053927e-06;2;
3673;miniXyce.x;;0;0;0.01;0.01;0.01;0;1;
3405;miniXyce.x;;0;0;0.01;0.01;0.01;0;1;
3346;miniXyce.x;;0;0;0.01;0.01;0.01;0;1;
3151;miniXyce.x;;0;0;0.01;0.01;0.01;0;1;
3642;miniXyce.x;;0;0;0.01;0.01;0.01;0;1;
3646;miniXyce.x;;0;0;0.01;0.01;0.01;0;1;
3515;miniXyce.x;;0;0;0.01;0.01;0.01;0;1;
3258;miniXyce.x;;0;0;0.01;0.01;0.01;0;1;
3129;miniXyce.x;;0;0;0.01;0.01;0.01;0;1;
2892;miniXyce.x;;0;0;0.01;0.01;0.01;0;1;
3437;miniXyce.x;;0;0;0.01;0.01;0.01;0;1;
3121;miniXyce.x;;0;0;0.01;0.01;0.01;0;1;
3518;miniXyce.x;;0;0;0.01;0.01;0.01;0;1;
3682;miniXyce.x;;0;0;0;0;0;0;1;
3665;miniXyce.x;;0;0;0;0;0;0;1;
1632;miniXyce.x;;0;0;0;0;0;0;1;
3640;miniXyce.x;;0;0;0;0;0;0;1;
3643;miniXyce.x;;0;0;0;0;0;0;1;
3316;miniXyce.x;;0;0;0;0;0;0;1;
3520;miniXyce.x;;0;0;0;0;0;0;1;
3171;miniXyce.x;;0;0;0;0;0;0;1;
3123;miniXyce.x;;0;0;0;0;0;0;1;
