Nb Loops;If Clean;If FP Vect;If Fully Vect;
1;1.0035;1.0022;1.004;
2;1.0038;1.0026;1.006;
3;1.0041;1.0029;1.0077;
4;1.0042;1.0031;1.0085;
5;1.0042;1.0031;1.0093;
6;1.0042;1.0032;1.0099;
7;1.0042;1.0032;1.0102;
8;1.0042;1.0033;1.0105;
9;1.0042;1.0033;1.0108;
10;1.0042;1.0033;1.011;
11;1.0042;1.0033;1.0111;
12;1.0042;1.0033;1.0112;
13;1.0042;1.0033;1.0113;
14;1.0042;1.0033;1.0114;
15;1.0042;1.0033;1.0114;
16;1.0042;1.0033;1.0115;
