Category;> 8%;4% to 8%;2% to 4%;1% to 2%;0.5% to 1%;0.25% to 0.5%;0.125% to 0.25%;< 0.125%;
inner_simple;0;0;0;0;0;0;0.45;0.43;
inbetween;0;0;0;0;0;0.47;0;0.02;
outer;0;0;0;0;0;0;0;0.06;
count_inner;0;0;0;0;0;0;2;10;
count_inbetween;0;0;0;0;0;1;0;2;
count_outer;0;0;0;0;0;0;0;1;
