block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
3139;miniXyce.x;;0.15;0.14;;;;;;
3363;miniXyce.x;;0.07;0.06;;;;;;
3133;miniXyce.x;;0.06;0.06;;;;;;
3381;miniXyce.x;;0.06;0.06;;;;;;
3157;miniXyce.x;;0.05;0.04;;;;;;
3435;miniXyce.x;;0.04;0.04;;;;;;
3367;miniXyce.x;;0.04;0.04;;;;;;
3132;miniXyce.x;;0.03;0.03;;;;;;
3143;miniXyce.x;;0.03;0.03;;;;;;
3146;miniXyce.x;;0.03;0.03;;;;;;
3147;miniXyce.x;;0.03;0.03;;;;;;
3666;miniXyce.x;;0.02;0.02;;;;;;
3137;miniXyce.x;;0.02;0.02;;;;;;
3411;miniXyce.x;;0.02;0.02;;;;;;
3117;miniXyce.x;;0.02;0.02;;;;;;
1618;miniXyce.x;;0.02;0.01;;;;;;
1544;miniXyce.x;;0.02;0.01;;;;;;
3141;miniXyce.x;;0.02;0.01;;;;;;
3432;miniXyce.x;;0.02;0.01;;;;;;
3387;miniXyce.x;;0.02;0.01;;;;;;
3162;miniXyce.x;;0.01;0.01;;;;;;
1611;miniXyce.x;;0.01;0.01;;;;;;
3330;miniXyce.x;;0.01;0.01;;;;;;
3270;miniXyce.x;;0.01;0.01;;;;;;
3337;miniXyce.x;;0.01;0.01;;;;;;
3202;miniXyce.x;;0.01;0.01;;;;;;
3336;miniXyce.x;;0.01;0.01;;;;;;
3171;miniXyce.x;;0.01;0.01;;;;;;
3122;miniXyce.x;;0.01;0.01;;;;;;
3154;miniXyce.x;;0.01;0.01;;;;;;
3349;miniXyce.x;;0.01;0.01;;;;;;
3145;miniXyce.x;;0.01;0.01;;;;;;
872;miniXyce.x;;0.01;0;;;;;;
3822;miniXyce.x;;0.01;0;;;;;;
3823;miniXyce.x;;0.01;0;;;;;;
3814;miniXyce.x;;0.01;0;;;;;;
296;miniXyce.x;;0.01;0;;;;;;
3636;miniXyce.x;;0.01;0;;;;;;
1608;miniXyce.x;;0.01;0;;;;;;
3444;miniXyce.x;;0.01;0;;;;;;
3449;miniXyce.x;;0.01;0;;;;;;
3638;miniXyce.x;;0.01;0;;;;;;
3642;miniXyce.x;;0.01;0;;;;;;
3158;miniXyce.x;;0.01;0;;;;;;
3161;miniXyce.x;;0.01;0;;;;;;
3255;miniXyce.x;;0.01;0;;;;;;
3428;miniXyce.x;;0.01;0;;;;;;
3467;miniXyce.x;;0.01;0;;;;;;
3331;miniXyce.x;;0.01;0;;;;;;
3165;miniXyce.x;;0.01;0;;;;;;
3525;miniXyce.x;;0.01;0;;;;;;
3153;miniXyce.x;;0.01;0;;;;;;
3517;miniXyce.x;;0.01;0;;;;;;
3142;miniXyce.x;;0.01;0;;;;;;
3434;miniXyce.x;;0.01;0;;;;;;
3149;miniXyce.x;;0.01;0;;;;;;
3115;miniXyce.x;;0.01;0;;;;;;
3135;miniXyce.x;;0.01;0;;;;;;
3709;miniXyce.x;;0.01;0;;;;;;
