block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
3139;miniXyce.x;;0.18;0.17;;;;;;
3363;miniXyce.x;;0.12;0.11;;;;;;
3157;miniXyce.x;;0.11;0.11;;;;;;
3381;miniXyce.x;;0.1;0.1;;;;;;
3133;miniXyce.x;;0.07;0.07;;;;;;
3143;miniXyce.x;;0.07;0.07;;;;;;
3160;miniXyce.x;;0.05;0.04;;;;;;
3147;miniXyce.x;;0.03;0.03;;;;;;
3387;miniXyce.x;;0.03;0.02;;;;;;
3666;miniXyce.x;;0.02;0.02;;;;;;
1610;miniXyce.x;;0.02;0.02;;;;;;
3132;miniXyce.x;;0.02;0.02;;;;;;
3336;miniXyce.x;;0.02;0.02;;;;;;
3201;miniXyce.x;;0.02;0.01;;;;;;
3331;miniXyce.x;;0.02;0.01;;;;;;
3435;miniXyce.x;;0.02;0.01;;;;;;
3142;miniXyce.x;;0.02;0.01;;;;;;
3367;miniXyce.x;;0.02;0.01;;;;;;
3295;miniXyce.x;;0.02;0.01;;;;;;
1618;miniXyce.x;;0.01;0.01;;;;;;
1611;miniXyce.x;;0.01;0.01;;;;;;
3141;miniXyce.x;;0.01;0.01;;;;;;
3411;miniXyce.x;;0.01;0.01;;;;;;
3429;miniXyce.x;;0.01;0.01;;;;;;
3432;miniXyce.x;;0.01;0.01;;;;;;
3129;miniXyce.x;;0.01;0.01;;;;;;
3149;miniXyce.x;;0.01;0.01;;;;;;
3145;miniXyce.x;;0.01;0.01;;;;;;
872;miniXyce.x;;0.01;0;;;;;;
3822;miniXyce.x;;0.01;0;;;;;;
3814;miniXyce.x;;0.01;0;;;;;;
1623;miniXyce.x;;0.01;0;;;;;;
1544;miniXyce.x;;0.01;0;;;;;;
1606;miniXyce.x;;0.01;0;;;;;;
1612;miniXyce.x;;0.01;0;;;;;;
1613;miniXyce.x;;0.01;0;;;;;;
3405;miniXyce.x;;0.01;0;;;;;;
3137;miniXyce.x;;0.01;0;;;;;;
3368;miniXyce.x;;0.01;0;;;;;;
3151;miniXyce.x;;0.01;0;;;;;;
3158;miniXyce.x;;0.01;0;;;;;;
3161;miniXyce.x;;0.01;0;;;;;;
3255;miniXyce.x;;0.01;0;;;;;;
3330;miniXyce.x;;0.01;0;;;;;;
3165;miniXyce.x;;0.01;0;;;;;;
3350;miniXyce.x;;0.01;0;;;;;;
3525;miniXyce.x;;0.01;0;;;;;;
3270;miniXyce.x;;0.01;0;;;;;;
3168;miniXyce.x;;0.01;0;;;;;;
3337;miniXyce.x;;0.01;0;;;;;;
3130;miniXyce.x;;0.01;0;;;;;;
3524;miniXyce.x;;0.01;0;;;;;;
3202;miniXyce.x;;0.01;0;;;;;;
3120;miniXyce.x;;0.01;0;;;;;;
3339;miniXyce.x;;0.01;0;;;;;;
3146;miniXyce.x;;0.01;0;;;;;;
3520;miniXyce.x;;0.01;0;;;;;;
3122;miniXyce.x;;0.01;0;;;;;;
3154;miniXyce.x;;0.01;0;;;;;;
3135;miniXyce.x;;0.01;0;;;;;;
3349;miniXyce.x;;0.01;0;;;;;;
3155;miniXyce.x;;0.01;0;;;;;;
3124;miniXyce.x;;0.01;0;;;;;;
3709;miniXyce.x;;0.01;0;;;;;;
3518;miniXyce.x;;0.01;0;;;;;;
