block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
3157;miniXyce.x;;0.48;0.49;;;;;;
3133;miniXyce.x;;0.21;0.21;;;;;;
3147;miniXyce.x;;0.21;0.21;;;;;;
3139;miniXyce.x;;0.1;0.1;;;;;;
3160;miniXyce.x;;0.09;0.09;;;;;;
3154;miniXyce.x;;0.08;0.08;;;;;;
3363;miniXyce.x;;0.08;0.08;;;;;;
3381;miniXyce.x;;0.08;0.08;;;;;;
3143;miniXyce.x;;0.05;0.05;;;;;;
3162;miniXyce.x;;0.02;0.03;;;;;;
3120;miniXyce.x;;0.02;0.03;;;;;;
3387;miniXyce.x;;0.02;0.03;;;;;;
3201;miniXyce.x;;0.02;0.02;;;;;;
3141;miniXyce.x;;0.02;0.02;;;;;;
3168;miniXyce.x;;0.02;0.02;;;;;;
296;miniXyce.x;;0.02;0.02;;;;;;
3138;miniXyce.x;;0.02;0.02;;;;;;
3638;miniXyce.x;;0.02;0.02;;;;;;
3349;miniXyce.x;;0.02;0.02;;;;;;
1611;miniXyce.x;;0.01;0.01;;;;;;
3137;miniXyce.x;;0.01;0.01;;;;;;
3642;miniXyce.x;;0.01;0.01;;;;;;
3163;miniXyce.x;;0.01;0.01;;;;;;
3411;miniXyce.x;;0.01;0.01;;;;;;
3169;miniXyce.x;;0.01;0.01;;;;;;
3170;miniXyce.x;;0.01;0.01;;;;;;
3435;miniXyce.x;;0.01;0.01;;;;;;
3153;miniXyce.x;;0.01;0.01;;;;;;
3122;miniXyce.x;;0.01;0.01;;;;;;
3135;miniXyce.x;;0.01;0.01;;;;;;
3140;miniXyce.x;;0.01;0.01;;;;;;
8;miniXyce.x;;0.01;0.01;;;;;;
3802;miniXyce.x;;0.01;0.01;;;;;;
3814;miniXyce.x;;0.01;0.01;;;;;;
3636;miniXyce.x;;0.01;0.01;;;;;;
3637;miniXyce.x;;0.01;0.01;;;;;;
1544;miniXyce.x;;0.01;0.01;;;;;;
1606;miniXyce.x;;0.01;0.01;;;;;;
3639;miniXyce.x;;0.01;0.01;;;;;;
3161;miniXyce.x;;0.01;0.01;;;;;;
3334;miniXyce.x;;0.01;0.01;;;;;;
3432;miniXyce.x;;0.01;0.01;;;;;;
3142;miniXyce.x;;0.01;0.01;;;;;;
3333;miniXyce.x;;0.01;0.01;;;;;;
3367;miniXyce.x;;0.01;0.01;;;;;;
3124;miniXyce.x;;0.01;0.01;;;;;;
3709;miniXyce.x;;0.01;0.01;;;;;;
3295;miniXyce.x;;0.01;0.01;;;;;;
3118;miniXyce.x;;0;0;;;;;;
3641;miniXyce.x;;0;0;;;;;;
1623;miniXyce.x;;0;0;;;;;;
1608;miniXyce.x;;0;0;;;;;;
1612;miniXyce.x;;0;0;;;;;;
3151;miniXyce.x;;0;0;;;;;;
3640;miniXyce.x;;0;0;;;;;;
3180;miniXyce.x;;0;0;;;;;;
3330;miniXyce.x;;0;0;;;;;;
3648;miniXyce.x;;0;0;;;;;;
3429;miniXyce.x;;0;0;;;;;;
3117;miniXyce.x;;0;0;;;;;;
3156;miniXyce.x;;0;0;;;;;;
3129;miniXyce.x;;0;0;;;;;;
3130;miniXyce.x;;0;0;;;;;;
3119;miniXyce.x;;0;0;;;;;;
3265;miniXyce.x;;0;0;;;;;;
3438;miniXyce.x;;0;0;;;;;;
3339;miniXyce.x;;0;0;;;;;;
3132;miniXyce.x;;0;0;;;;;;
3336;miniXyce.x;;0;0;;;;;;
3123;miniXyce.x;;0;0;;;;;;
2897;miniXyce.x;;0;0;;;;;;
2898;miniXyce.x;;0;0;;;;;;
3518;miniXyce.x;;0;0;;;;;;
3214;miniXyce.x;;0;0;;;;;;
3274;miniXyce.x;;0;0;;;;;;
