block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
3133;miniXyce.x;;0.16;0.16;;;;;;
3139;miniXyce.x;;0.16;0.16;;;;;;
3147;miniXyce.x;;0.16;0.16;;;;;;
3157;miniXyce.x;;0.12;0.12;;;;;;
3381;miniXyce.x;;0.11;0.11;;;;;;
3145;miniXyce.x;;0.11;0.11;;;;;;
3363;miniXyce.x;;0.09;0.1;;;;;;
3155;miniXyce.x;;0.09;0.09;;;;;;
3143;miniXyce.x;;0.08;0.09;;;;;;
3132;miniXyce.x;;0.06;0.06;;;;;;
3156;miniXyce.x;;0.04;0.05;;;;;;
3146;miniXyce.x;;0.04;0.05;;;;;;
3162;miniXyce.x;;0.04;0.04;;;;;;
3160;miniXyce.x;;0.03;0.04;;;;;;
3435;miniXyce.x;;0.03;0.03;;;;;;
3349;miniXyce.x;;0.03;0.03;;;;;;
3141;miniXyce.x;;0.02;0.02;;;;;;
3295;miniXyce.x;;0.02;0.02;;;;;;
3137;miniXyce.x;;0.02;0.02;;;;;;
3642;miniXyce.x;;0.01;0.01;;;;;;
3168;miniXyce.x;;0.01;0.01;;;;;;
3258;miniXyce.x;;0.01;0.01;;;;;;
3153;miniXyce.x;;0.01;0.01;;;;;;
3154;miniXyce.x;;0.01;0.01;;;;;;
3387;miniXyce.x;;0.01;0.01;;;;;;
2732;miniXyce.x;;0.01;0.01;;;;;;
3802;miniXyce.x;;0.01;0.01;;;;;;
3803;miniXyce.x;;0.01;0.01;;;;;;
3666;miniXyce.x;;0.01;0.01;;;;;;
1623;miniXyce.x;;0.01;0.01;;;;;;
1544;miniXyce.x;;0.01;0.01;;;;;;
3138;miniXyce.x;;0.01;0.01;;;;;;
3411;miniXyce.x;;0.01;0.01;;;;;;
3432;miniXyce.x;;0.01;0.01;;;;;;
3202;miniXyce.x;;0.01;0.01;;;;;;
3148;miniXyce.x;;0.01;0.01;;;;;;
3333;miniXyce.x;;0.01;0.01;;;;;;
3367;miniXyce.x;;0.01;0.01;;;;;;
3150;miniXyce.x;;0;0;;;;;;
8;miniXyce.x;;0;0;;;;;;
3822;miniXyce.x;;0;0;;;;;;
3806;miniXyce.x;;0;0;;;;;;
3808;miniXyce.x;;0;0;;;;;;
3814;miniXyce.x;;0;0;;;;;;
3201;miniXyce.x;;0;0;;;;;;
3636;miniXyce.x;;0;0;;;;;;
3637;miniXyce.x;;0;0;;;;;;
1618;miniXyce.x;;0;0;;;;;;
1620;miniXyce.x;;0;0;;;;;;
1621;miniXyce.x;;0;0;;;;;;
1606;miniXyce.x;;0;0;;;;;;
1608;miniXyce.x;;0;0;;;;;;
1609;miniXyce.x;;0;0;;;;;;
1611;miniXyce.x;;0;0;;;;;;
1612;miniXyce.x;;0;0;;;;;;
1613;miniXyce.x;;0;0;;;;;;
3343;miniXyce.x;;0;0;;;;;;
3413;miniXyce.x;;0;0;;;;;;
3638;miniXyce.x;;0;0;;;;;;
3639;miniXyce.x;;0;0;;;;;;
3151;miniXyce.x;;0;0;;;;;;
1650;miniXyce.x;;0;0;;;;;;
3643;miniXyce.x;;0;0;;;;;;
3161;miniXyce.x;;0;0;;;;;;
3645;miniXyce.x;;0;0;;;;;;
3255;miniXyce.x;;0;0;;;;;;
3330;miniXyce.x;;0;0;;;;;;
3256;miniXyce.x;;0;0;;;;;;
3429;miniXyce.x;;0;0;;;;;;
3165;miniXyce.x;;0;0;;;;;;
3166;miniXyce.x;;0;0;;;;;;
3169;miniXyce.x;;0;0;;;;;;
3334;miniXyce.x;;0;0;;;;;;
3170;miniXyce.x;;0;0;;;;;;
3129;miniXyce.x;;0;0;;;;;;
3130;miniXyce.x;;0;0;;;;;;
3692;miniXyce.x;;0;0;;;;;;
3142;miniXyce.x;;0;0;;;;;;
3120;miniXyce.x;;0;0;;;;;;
3336;miniXyce.x;;0;0;;;;;;
3149;miniXyce.x;;0;0;;;;;;
3135;miniXyce.x;;0;0;;;;;;
3140;miniXyce.x;;0;0;;;;;;
3125;miniXyce.x;;0;0;;;;;;
