function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
2592;libmpi.so.12.1.10;MPIDI_CH3I_Progress;;34.43;34.62;22.05;34.07;45.19;13.113770484924;4;
2303;libmpi.so.12.1.10;MPIDI_CH3U_Recvq_FDU_or_AEP;;22.37;22.49;0.2;22.14;53.85;25.367366790771;4;
2712;libmpi.so.12.1.10;MPID_nem_tcp_connpoll;;13.35;13.43;8.01;13.21;17.99;5.4832034111023;4;
2589;libmpi.so.12.1.10;MPIDI_CH3I_Shm_send_progress;;11.48;11.54;0.88;11.36;17.43;7.6050052642822;4;
2196;libmpi.so.12.1.10;MPIR_Progress_hook_exec_all;;5.04;5.06;0.22;4.99;8.56;3.5411741733551;4;
1819;libmpi.so.12.1.10;MPIR_Coll_safe_to_block;;1.92;1.93;0.01;1.89;3.24;1.4684231281281;4;
1840;libmpi.so.12.1.10;MPII_Gentran_scheds_are_pending;;1.52;1.53;0;1.5;2.46;1.1151787042618;4;
2725;libmpi.so.12.1.10;MPIDU_Sched_are_pending;;1.38;1.39;0;1.37;2.11;0.98221164941788;4;
584;libc-2.31.so;pthread_attr_setschedparam;;1.28;1.28;0.7;1.26;1.99;0.61322796344757;4;
2623;libmpi.so.12.1.10;MPID_nem_network_poll;;1.21;1.22;0.77;1.2;1.64;0.51767784357071;4;
2582;libmpi.so.12.1.10;MPIDI_CH3_iStartMsg;;1.12;1.12;1.02;1.1;1.3;0.12048244476318;4;
67;miniXyce.x;mX_matrix_utils::sparse_matrix_vector_product(mX_matrix_utils::distributed_sparse_matrix*, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&);;1;1.01;0.5;0.99;1.52;0.47915595769882;4;
2315;libmpi.so.12.1.10;MPID_Request_free_hook;;0.53;0.53;0.38;0.52;0.79;0.17943747341633;4;
68;miniXyce.x;mX_matrix_utils::gmres(mX_matrix_utils::distributed_sparse_matrix*, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double&, double&, int, std::vector<double, std::allocator<double> >&, int&, int&);;0.38;0.38;0.33;0.37;0.41;0.043210260570049;4;
2305;libmpi.so.12.1.10;MPIDI_CH3U_Recvq_FDP_or_AEU;;0.35;0.35;0.12;0.35;0.69;0.23809263110161;4;
1482;libstdc++.so.6.0.28;std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&);;0.27;0.27;0.12;0.26;0.53;0.19190013408661;4;
2487;libmpi.so.12.1.10;MPID_Recv;;0.23;0.23;0.08;0.23;0.43;0.15323103964329;4;
585;libc-2.31.so;__libc_malloc;;0.19;0.19;0.1;0.19;0.33;0.099164307117462;4;
1303;libmpi.so.12.1.10;MPI_Send;;0.15;0.15;0.13;0.15;0.15;0.0072622634470463;4;
1299;libmpi.so.12.1.10;MPI_Recv;;0.14;0.14;0.04;0.14;0.28;0.10483280569315;4;
2420;libmpi.so.12.1.10;MPIDI_CH3_PktHandler_EagerShortSend;;0.14;0.14;0.09;0.14;0.22;0.06217597424984;4;
2419;libmpi.so.12.1.10;MPIDI_CH3_EagerContigShortSend;;0.14;0.14;0.09;0.13;0.17;0.034305494278669;4;
586;libc-2.31.so;__libc_free;;0.11;0.11;0.05;0.11;0.15;0.041621543467045;4;
